Word,Meaning
abaaldooris,"abaaldooris m.l Samafal la isu galay oo xummaan lagu beddelo."
abaalgudid,"abaalgudid m.f.dh eeg abaalgud². ld abaalgud¹."
abaalgud²,"abaalgud² f.mg1 (-day, -dday) U a.: abaal la isu galay mid la mid ah ku beddelid."
abaalgud¹,"abaalgud¹ m.l (-dyo, m.dh) 1. Wax qiimo leh oo la siiyo qof hawl dheeraad ah qabtay;"
abaalhay,"abaalhay f.mg2 (-yay, -ysay) U a.: cid, cid kale oo samo u gashay u aqoonsanaan."
abaalhayn,"abaalhayn m.f.dh eeg abaalhay."
abaali,"abaali m.dh (-iyaal, m.l/dh) A. ah: haan duug ah oo biyaha sii daysa; boos."
abaalmari,"abaalmari f.g2 (-iyay, -isay) Qof u abaalgudid."
abaalmarin,"abaalmarin m.dh eeg abaalmari. ld abaalmaris."
abaalmarin.,"abaalmarin. 2. ld abaalgudid."
abaalmaris,"abaalmaris m.l ld abaalmarin."
abaar,"abaar m.dh (-ro, m.l) Dhibaato ballaaran oo roob la'aani keentay."
abaarayn,"abaarayn m.f.dh eeg abaaree. ld abaaraysiin."
abaaraysad,"abaaraysad m.l ld abaaraysasho."
abaaraysan,"abaaraysan f.mg4 (-snaa, -snayd) Wax abaari haleeshay ahaansho (dhul)."
abaaraysasho,"abaaraysasho m.f.dh eeg abaarayso. ld abaaraysad, abaaraysi."
abaaraysi,"abaaraysi m.l ld abaaraysasho."
abaaraysii,"abaaraysii f.g2 (-iyay, -isay) ld abaaree."
abaaraysiin,"abaaraysiin m.dh ld abaarayn."
abaaraysnaan,"abaaraysnaan m.f.dh eeg abaaraysan. ld abaaraysnaansho."
abaaraysnaansho,"abaaraysnaansho m.l/dh ld abaaraysnaan."
abaarayso,"abaarayso f.mg3 (-stay, -satay) Wax abaari ku dhacday noqosho (meel). ld abaarso."
abaaree,"abaaree f.g2 (-reeyay, -raysay) Wax abaar ah ka dhigid (meel). ld abaaraysii."
abaareysad,"abaareysad m.l ld abaaraysasho."
abaarikeentay,"abaarikeentay m.l/dh.u Dad aan dhulka ku dhalan oo waa dambe dalaw ku yimid."
abaaroobid,"abaaroobid m.f.dh eeg abaarow."
abaarow,"abaarow f.mg1 (-oobay, -owday; -oobi) Wax abaari ku dhacday noqosho (meel)."
abaarsad,"abaarsad m.l ld abaarsasho."
abaarsasho,"abaarsasho m.dh ld abaarsad, abaaraysasho."
abaarso,"abaarso f.mg3 (-saday, -satay) ld abaarayso."
abaaseere,"abaaseere m.l Qof madax ka ah goobta booranaha ama mingiska lagu tumo. ld abbaseere."
ababi,"ababi f.g2 (-iyay, -isay) 1. Ubad xoolaad daaq barid. 2. Ku a.: dhallaan dad, aqoon, dhaqan iwm barid. ld abaabi."
ababid,"ababid m.f.dh eeg abab². ld abaab¹, abaabid, abaabis, abab¹, ababis."
ababin,"ababin m.f.dh eeg ababi. ld abaabin."
ababis,"ababis m.l ld ababid."
abab²,"abab² f.mg1 (-bay, -btay) 1. Ubad xoolaad daaq barasho. 2. Ku a.: dhallaan dad, aqoon, dhaqan iwm ku barbaarin. ld abaab²."
abab¹,"abab¹ m.l Ubad xoolaad oo daaq barad ah. ld abaab¹, ababid."
abad,"abad m.l.fk Markii magacuyaal lahaansho lagu lifaaqo wuxuu la micna yahay “weligii”. Tus. “A.kii ma imaan” oo la mid ah “weligiis ma imaan”. ld abadan, abid, abiid, ebed."
abadan,"abadan m.l.fk Eray lagu muujiyo diidmo adag. ld abad."
abaddar,"abaddar m.l (-rro, m.dh) 1. Qof aan waxba laga dhaadhicin karin; macangag. 2. Geesi aan caqli lahayn."
abaddarnimo,"abaddarnimo m.dh Abaddar ahaansho."
abakaar,"abakaar m.dh (-rro, m.l) Haweeney waxyaabo yaryar ka ganacsata."
abakaarnimo,"abakaarnimo m.dh Abakaar ahaansho."
abaqaalid,"abaqaalid m.f.dh eeg abaqaal². ld abqaal¹."
abaqaal²,"abaqaal² f.g1 (-aalay, -aashay) Laan geed laga soo gooyey geed ku tallaalid."
abaqaal¹,"abaqaal¹ m.l Tallaalidda laan geed laga soo gooyay lagu tallaalo geed kale. ld abqaalid."
abasaxan,"abasaxan f.mg4 (-naa, -nayd) ld abasaxsan."
abasaxi,"abasaxi m.l 1. Baahida ay hal ama qaalin geel ahi u qabto abaahi. 2. A. ah: hal ama qaalin geel oo u baahan abaahi."
abasaxnaan,"abasaxnaan m.dh ld abasaxsanaan."
abasaxnaansho,"abasaxnaansho m.l/dh ld abasaxsanaan."
abasaxsan,"abasaxsan f.mg4 (-naa, -nayd) Wax abaahin u baahan ah ahaansho (hal)."
abasaxsanaan,"abasaxsanaan m.f.dh eeg abasaxsan. ld abasaxnaan, abasaxnaansho, abasaxsanaansho."
abasaxsanaansho,"abasaxsanaansho m.l/dh ld abasaxsanaan."
abasax²,"abasax² f.mg1 (-xay, -xday; -sixi) (Hal) wax abaahin u baahan noqosho."
abasax¹,"abasax¹ m.l ld abasaxi."
abashuqle,"abashuqle m.l Guux iyo abur uu afka ka keeno awr doobbo soo ridi waayey. ld aburshuqle."
abashuqlee,"abashuqlee f.mg2 (-leeyay, -leysay) Abashuqle samayn (awr). ld aburshuqlee."
abashuqleyn,"abashuqleyn m.f.dh eeg abashuqlee. ld aburshuqlayn."
abasixid,"abasixid m.dh eeg abasax²."
abataqan,"abataqan m.dh Meel aad uga fog qofka hadlaaya."
abaydimi,"abaydimi f.g2 (-iyay, -isay) Ilmo yar abaydin ka dhigid."
abaydimin,"abaydimin m.f.dh eeg abaydimi."
abaydin,"abaydin m.l/dh.kh A. ah: ilmo yar oo naaska hooyo aan nuugin."
abbaan,"abbaan m.l (-nno, m.dh) 1. Qof cid magan geliyey. 2. Qof, cid magan u ah."
abbaanduul,"abbaanduul m.l Cilmiga barashada hoggaaminta ciidamada xagga dagaalka. ld ammaanduul."
abbaanduule,"abbaanduule m.l (-layaal, m.l/dh) 1. Qof taliye u ah col duullaan ah. 2. Taliyexigeenka gaas, guuto, qayb iwm ee ciidamada. ld ammaanduule."
abbaannimo,"abbaannimo m.dh Abbaan ahaansho."
abbaansasho,"abbaansasho m.f.dh eeg abbaanso. ld abbaansi."
abbaansi,"abbaansi m.l ld abbaansasho."
abbaanso,"abbaanso f.mg3 (-saday, -satay) Cid abbaan u noqosho (qof)."
abbaanwarre,"abbaanwarre m.l (-rrayaal, m.l/dh) Laba isu dhaxday kan labka ah; say."
abbaaran²,"abbaaran² f.mg4 (-rnaa, -rnayd) 1. Ku a.: wax waqti go'an meel ku aaddan ahaansho. 2. Ku a.: wax meel ku aaddan ahaansho."
abbaaran¹,"abbaaran¹ f.mg1 (-rmay, -rantay; -rmi) 1. Ku a.: wax waqti go'an meel ku aaddan noqosho. 2. Ku a.: wax meel ku aaddan noqosho."
abbaare,"abbaare m.l.fk Qiyaasta ugu dhow wax aan la hubin oo la qiyaaso. Tus. “Waxaan ku sugayaa abbaaraha lix saac”."
abbaarid,"abbaarid m.f.dh eeg abbaar³. ld abbaar¹."
abbaarmid,"abbaarmid m.f.dh eeg abbaaran¹."
abbaarnaan,"abbaarnaan m.f.dh eeg abbaaran². ld abbaarnaansho."
abbaarnaansho,"abbaarnaansho m.l/dh ld abbaarnaan."
abbaarqaadasho,"abbaarqaadasho m.f.dh eeg abbaarqaado."
abbaarqaado,"abbaarqaado f.mg3 (-aatay, -aadatay) Ka a.: meel jahadeeda meel kale uga tilmaan qaadasho."
abbaarsii,"abbaarsii f.g2 (-iiyay, -iisay) Wax meel ama wax kale ku aaddin."
abbaarsiin,"abbaarsiin m.f.dh eeg abbaarsii."
abbaar²,"abbaar² m.dh Hadal, arrin iwm sida ku habboon ee looga baahanyahay. Tus. “Hadalka abbaartiisu sidaa ma ahayn.”"
abbaar³,"abbaar³ f.g/mg1 (-ray, -rtay) 1. (f.g) Si toos ah oo aan leexleexasho lahayn wax u aadid. 2. (f.mg) Ku a.: wax kale ku toosin."
abbaar¹,"abbaar¹ m.l 1. Meel ku aadkeeda. 2. ld abbaarid."
abbaato,"abbaato m.dh.fk Hor iyo a.: fal la sameeyo inta aan ujeeddo la lahaa lagu dhaqaaqin. Tus. “Inta aynaan badda aadin hor iyo abbaato aan shaah cabno”."
abbaay,"abbaay m.dh ld abbaaye."
abbaay-abbaaye,"abbaay abbaay m.dh Digri haweenka u gaar ah oo la sameeyo marka haweeney ay kuraysanayso ama markii caado ahaan loo xusayo abbaay Faaduumo oo lagu wado gabadhii Rasuulka (n.k.h.a.)."
abbaaye,"abbaaye m.l (-yayaal, m.l/dh) 1. Wax ay gabadhi u tahay wiilka ama gabadha la dhalatay. 2. Erey “walaal” ka dhigan oo gabdhaha wada dhashay ama xigto ah ama is jecel isugu yeeraan. 3. Gabadhi waxa ay u tahay ilmaha la dhashay ee ka yaryar. ld abbaay, abbaayo."
abbaayguddoy,"abbaayguddoy m.dh (-ooyin, m.l) Cayayaan jiriiqaaqa iyo ayaxa la bah ah oo leh madax ka weyn jirka intiisa kale iyo lix lugood oo ay labada hore dhaadheeryihiin. ld ayeeyolugdheer; abooto-idabbadis."
abbaayo,"abbaayo m.dh ld abbaaye."
abbaseere,"abbaseere m.l (-rayaal, m.l/dh) ld abaaseere."
abboow,"abboow m.l ld abboowe."
abboowe,"abboowe m.l (-wayaal, m.l/dh) 1. Waxa wiil u yahay ilmaha la dhashay ee ka yaryar. 2. Erey “walaal” ka dhigan oo kuwa wada dhashay ama xigto ah ama is jeceli isugu yeeraan. 3. Wiil waxa uu u yahay ilmaha la dhashay ee ka yaryar. ld abboow, boowe."
abbuul,"abbuul m.l ld cambuul¹."
abdo,"abdo m.dh Qiimo; aayo; faa'ido; rajo."
abeer,"abeer m.dh.u 1. A. ah: qaalin geel ama lo'aad oo waqtiigii ay rimi lahayd gaartay laakiin aan dhowr da'ood dhalin. 2. A. ah: neef dhaddig oo aad u shilis; gool. ld ameer."
abeesabbadeed,"abeesabbadeed m.dh.u Nooc mallay badeedka la mid ah oo abeesada u eg."
abeesajilfaaley,"abeesajilfaaley m.dh Abeeso aad u weyn oo bakeylaha, sagaarada iyo ugaarta yaryar liqda. ld abeesojufaaley."
abeesalugaley,"abeesalugaley m.dh.u Berribiyood afar addin, dabo dheer iyo harag leh oo yaxaaska u eg, kana jurmi yar; masalugaley; riyanuug."
abeesaxambaar,"abeesaxambaar m.l A. ah: ilmo ku jira marxaladdii gurguurashada."
abeeso,"abeeso m.dh (-ooyin, m.l) Nooc halaqa ka mid ah, halis ah, gaabiya oo leh madax weyn, barabaro iyo neef ay isku difaacdo oo hadba ciidda ay ku nooshahay midabkeeda yeelato."
abeesojufaaley,"abeesojufaaley m.dh ld abeesajilfaaley."
abeesow,"abeesow m.l Cudur maqaarka dadka ku dhaca oo u yeela barbaro kuwa abeesada u eg."
abguri,"abguri m.dh Abeeso aad u weyn oo waxaraha, bakaylaha, sagaarada iwm. liqda."
abhi,"abhi f.g2 (-iyay, -isay) Qof maaggan in uu cid dhibaateeyo ereyo uu ku qaboobo ku dhihid. ld ahbi."
abhin,"abhin m.f.dh eeg abhi. ld abhis, ahbin, ahbis."
abhis,"abhis m.l ld abhin."
abid,"abid m.l.fk ld abad."
abiid,"abiid m.l.fk ld abad."
abitey,"abitey m.dh (-eeyo, m.dh) Warqad qaab shimbireed leh oo inta dun dheer lagu xiro caruurtu hawada ku laliyaan; dawaarad."
abjac,"abjac m.l (-cyo, m.dh) A. ah: qof madax adag oo garmaqaate ah."
abjacnimo,"abjacnimo m.dh Abjac ahaansho (qof)."
abjad,"abjad m.l (-dyo, m.dh) Heeryo cufan, culus oo ka sameysan cajillo, jawaanno, calallo iwm, oo isku tolan oo awrta rarka culus laga xijiyo; qobtol. ld abjed."
abjed,"abjed m.l ld abjad"
abkow,"abkow m.l (-wyo, m.dh) 1. Awoowe. 2. Awoowe aabbihiis; abuullan."
abkownimo,"abkownimo m.dh Abkow ahaansho."
abla'ablayn,"abla'ablayn m.dh (-no, m.dh) Barashada aragtida, jaraynta, iyo xeerarka kala soocidda naflayda kuwii dabar go'ay iyo kuwa hadda jooga."
ablaawe,"ablaawe m.l (-wayaal, m.l/dh) 1. Qof aan ciddii uu ka soo farcamay la aqoon. 2. Qof aan meher ku dhalan; wacal; garac."
abley,"abley m.dh (-eeyo, m.dh) Billaawe weyn oo dhererkiisu yahay qiyaastii soddon sintimitir. ld amley."
abnaqid,"abnaqid m.f.dh eeg abnaq³."
abnaq²,"abnaq² m.l Cilmiga abtiriska."
abnaq³,"abnaq³ f.mg1 (-qay, -qday) U a.: cid u abtirin."
abnaq¹,"abnaq¹ m.l (-qyo, m.dh) (xis.) Tirada soo baxda marka la isku dhufto dhammaan abyooneyaasha togan ee ka yar ama le'eq abyoone togan ee la isa siiyey. Abnaqa abyoone n oo loo qoro n! waa: (n - 1) (n - 2) (n - 3) ... 3. 2. 1. Cidala isku raacay o! = 1."
aboobid,"aboobid m.f.dh eeg abow."
aboodi,"aboodi m.l (-iyo, m.dh) Nooc haadda ka mid ah oo xagga weynaanta u dhaxeeya gorgorka iyo coomaaddaha, oo habeenkii dhulka u hoyda oo afka luguha iyo baalasha dhinacyadooda guduudan."
aboornimo,"aboornimo m.l Aboor ahaansho (waxar)."
aboor²,"aboor² m.l Cayayaan yaryar, cawlan, oo leh lix lugood iyo ilka adag oo beel beel u dega, dundumooyinka sameeya."
aboor¹,"aboor¹ m.dh Waxar ayadoon naaskii hooyadeed ka go'in biyo-cabbid bilowday."
abootannimo,"abootannimo m.dh Abooto ahaansho."
abooto,"abooto m.dh (-ooyin, m.l) Hooyada hooyadeed ama aabaha hooyadii; ayeeyo, macooyo."
abooto-idabbadis,"abooto-idabbadis m.dh Ayeeyo-lugdheer."
abqaad,"abqaad m.l (-do, m.l) (baay.) Ka rujinta geedka laga rujiyo meel ee la geeyo meel kale. Tus. “Ka saaridda geed dheri lagu beeray ee loo wareejiyo dhulka”."
abqo,"abqo m.dh.u Miro dhuuban, galoolan, dhexda iniino ku leh, quracu bixiyo oo xooluhu cunaan; dhameel. ld aqbo, qabco."
abraarid,"abraarid m.f.dh eeg abraar². ld abraar¹ (2)."
abraarsii,"abraarsii f.lg2 (-iiyay, -iisay) Wax meel ciriiri ah xoog ku dhex marin."
abraarsiin,"abraarsiin m.f.dh eeg abraarsii."
abraarsiis,"abraarsiis m.dh ld abraarsiin."
abraar²,"abraar² f.g/mg1 (-ray, -rtay) 1. (f.g) Meel ciriiri ah xoog ku dhexmarid. 2. (f.mg) Si degdegsiinyo leh hadba dhan ugu ordid."
abraar¹,"abraar¹ m.l 1. Orod degegsiinyo leh oo hadba dhan loo ordo. 2. abraarid. ld abraarid."
abriil,"abriil m.dh Bisha afraad ee sannadka miilaadiga ah. ld abriile."
abriile,"abriile m.dh ld abriil."
abris,"abris m.l (-syo, m.dh) Halaq madow oo gaaban oo waabaayo halis ah leh, oo afka iyo dabada wax ku qaniina inta badanna aan suntiisa laga kicin."
absaxan,"absaxan m.l.u Waalid, isir, ab."
abshir,"abshir m.dh 1. War wanaagsan oo farxad leh. 2. Dariiq toosan oo kheyr lagu gaaro. Tus. “Abshirta Alle hana waafajiyo”."
absiisa,"absiisa m.l (xis.) Kulanka-x oo barbarro ahaan loogu cabbiro dhidibka-x ee habdhiska kulanka kaartis."
abti,"abti m.l (-iyo, m.dh /-iyaal, m.l/dh) 1. Haweeney carruurta ay dhashay waxa uu walaalkeed u yahay. 2. u.j. abtiyow! 3. u.j. wiilka aan abtiga u ahayow!; gabadha aan abtiga u ahayey!"
abtibadbaadeed,"abtibadbaadeed m.l (-dyo, m.dh) Haweeney carruurta ay dhashay waxa uu ina adeerkeed u yahay."
abtinnimo,"abtinnimo m.dh Abti ahaansho."
abtiri,"abtiri f.mg2 (-iyay, -isay) U a.: qof faraciisu siday isu dhaleen sheegid."
abtirin,"abtirin m.f.dh eeg abtiri. ld abtiris."
abtiris,"abtiris m.l ld abtirin, abtirsiinyo."
abtirsad,"abtirsad m.l ld abtirsasho."
abtirsasho,"abtirsasho m.f.dh eeg abtirso. ld abtirsad, abtirsi."
abtirsi,"abtirsi m.l ld abtirsasho, abtirsiinyo."
abtirsiimo,"abtirsiimo m.dh ld abtirsiinyo."
abtirsiino,"abtirsiino m.dh ld abtirsiinyo."
abtirsiinyo,"abtirsiinyo m.dh Aqoonta ku saabsan awoowayaashii hore magacyadooda iyo siday isu xigeen; abnaq. ld abtiris, abtirsi, abtirsiimo, abtirsiino."
abtirso,"abtirso f.mg3 (-saday, -satay) 1. Qof abtirsiinyadiisa sheegasho. 2. Ku a.: awoowo hore abtirsiinyo ku gelid."
abtisarow,"abtisarow m.l Sarmooyinka dhabannada iyo labada indhood dhexdooda carruurta uu ka saro abtigood durugsan; sarow."
abtiyoobid,"abtiyoobid m.f.dh eeg abtiyow²."
abtiyow²,"abtiyow² f.mg1 (-obay, -owday) Gabar qaangaartay naas ka soo bixid."
abtiyow¹,"abtiyow¹ m.l Soo bixidda gabar qaangaartay naasku u soo baxo. Tus. “Naas abtiyow ayaa u soo baxay”."
abur,"abur m.l/dh Xumbo (siiba midda uu soo saaro aworka qooqan). ld ubur."
aburi,"aburi f.mg2 (-iyay, -isay) Abur yeelasho ama soo saarid (siiba awrka qooqan). ld uburi."
aburin,"aburin m.f.dh eeg aburi. ld uburin."
aburshuqlayn,"aburshuqlayn m.dh ld abashuqlayn."
aburshuqle,"aburshuqle m.l ld abashuqle."
aburshuqlee,"aburshuqlee f.mg2 (-leeyay, -laysay) ld abashuqlee."
abuuddocan,"abuuddocan m.dh ld abuuddoocan."
abuuddoocan,"abuuddoocan m.dh Timir yaryar, guduudan, aad u macaan oo ka baxda degmada Doocan ee Yaman. ld abuuddocan."
abuudiiq,"abuudiiq m.dh A. ah: badeeco diiq, astaan ahaan dusha kaga sawiran."
abuullan,"abuullan m.l.u Awoowayaal hore oo cidi ka soo farcantay."
abuumaqas,"abuumaqas m.l 1. Nafley bad ku nool ah oo leh jir qolof adag ku dahaarantahay, toban lugood oo labada hore u egyihiin maqas oo la cuno; koombe. 2. Nooc ka mid ah sigaarradii 40kii iyo 50kii Soomaaliya laga cabbi jirey oo dusha maqas kaga sawirnaa."
abuuran²,"abuuran² f.mg4 (-rnaa, -rnayd) Wax la abuuray ahaansho."
abuuran¹,"abuuran¹ f.mg1 (-rmay, -rantay; -rmi) Wax la abuuray noqosho."
abuurcas,"abuurcas m.l/dh Nooc meseggada ka mid ah, oo midab guduud iyo caddaan u dhexeeya leh."
abuure,"abuure m.l (-rayaal, m.l/dh) 1. Eebbe. 2. Qof wax abuuraya ama wax beeraya."
abuurid,"abuurid m.f.dh eeg abuur³. ld abuur¹ (2), abuuris, abuuritaan."
abuurid.,"abuurid. 2. Wax kor u qadiid, taagid."
abuuris,"abuuris m.dh ld abuurid; abuur²."
abuuritaan,"abuuritaan m.l ld abuurid."
abuurmid,"abuurmid m.f.dh eeg abuuran¹."
abuurnaan,"abuurnaan m.f.dh eeg abuuran². ld abuurnaansho."
abuurnaansho,"abuurnaansho m.l ld abuurnaan."
abuur²,"abuur² m.dh Dabeecad ama muuqaal loo dhashay; baxaalli. ld abuuris."
abuur³,"abuur³ f.g1 (-ray, -rtay) 1. Wax aan hore u jirin uumis. 2. Wax beerid."
abuur¹,"abuur¹ m.l 1. (m.l.u) Miro loogu tala galay in wax lagu beero. 2. ld abuurid."
abuutufaax,"abuutufaax m.l A. ah: macwiis tufaax astaan u ahi ku sawiran yahay."
abwaan,"abwaan m.l (-nno, m.dh) 1. Buug ama buugag taxane ah oo laamaha aqoonta oo dhami ku uruursanyihiin. 2. Nin curin iyo hal-abuur suugaaneed leh. 3. A. ah: nin garasho aqoon iyo waaya-aragnimo dheeraad ah leh. 4. (riw.) Qof riwaayadaha curiya."
abwaanad,"abwaanad m.dh (-do, m.l) 1. Haweeney curin iyo hal-abuur suugaaneed leh. 2. A. ah: haweeney garasho, aqoon iyo waayaaragnimo dheeraad ah leh."
abwaannimo,"abwaannimo m.dh Abwaan ahaansho."
abxad,"abxad m.dh (-do, m.l) Shandad weyn, maqaar ka samaysan oo reer miyigu wax ku gurtaan."
abyamid,"abyamid m.f.dh eeg abyan². ld abyan¹ (2)."
abyanaha-logaridam,"abyanaha-logaridam m.l (xis.) Qayb ka mid ah logaridamka tiro ee ah abyoonaha ku yaalla bidixda barta tabanlaha ee ku jirta logaridamka."
abyane-huban,"abyane-huban m.l (-nayaal ..., m.l/dh) (xis.) Jawaabta abyanka fansaar kasta ee hal doorsoome f(x), ee u dhexeeya laba qiime oo magacaaban ee x: x, iyo x2."
abyan²,"abyan² f.mg1 (-amay, -antay; -ami) Ka a.: wax aad ula yaabid."
abyan¹,"abyan¹ m.l 1. Garasho ama dareen, wax silloon ama lala yaabo, ay dhaliyaan; amakaag; ashqaraar. 2. ld abyamid."
abyin,"abyin m.l (-nno, m.dh) (xis.) Habka lagu raadiyo abyanku huban ama aan hubanayn. Abyintu waa weydaarka xigsinaynta. Tusaale ahaan, haddii f(x) ay tahay fansaarka ee x oo marka la diiro ku siisa f(x), markaa F(x) waxa la yiraahdaa abyin ama lidka diirane ee f(x)."
abyin-jeexeed,"abyin-jeexeed m.l (-dyo, m.dh) (xis.) Hab lagu sammeeyo abyinaynta taranka laba fansaar iyada oo la adeegsanaayo jidka: u (dv/dx)dx = uv - v (du)dx, oo loo adeegsan karo qiimeynta abyinka ee taran."
abyineed-aan-hubnayn,"abyineed-aan-hubnayn m.l (xis.) Abyanka aan hubanayn ee fansaarka f(x) waa fansaar F(x) oo diiranihiisu leegyahay f(x). Waxa kale oo loo yaqaan lidka diirane; abyineed."
abyineed-huban,"abyineed-huban m.l eeg abyan huban."
abyood,"abyood f.mg3 (-ooday, -ootay) Ku a.: ficil isla weyni iyo xadgudub leh cid kula kicid; gardarreysi qof."
abyoone,"abyoone m.l (-nayaal, m.l/dh) (xis.) Urur ka kooban tirooyinka idil ee togan iyo kuwa taban; 0, 1, 2, 3, 4, ... Abyooneyaasha togan ee 1, 2, 3, 4,... waxa lagu magacaabaa tirooyinka tirsiimo ama kuwa wax lagu tirsado."
ab²,"ab² m.l.fk A.kay ma arag: weligay ma arag."
ab¹,"ab¹ m.l.u 1. Awoowyaashii hore oo laga soo jeedo. 2.Abkay ma arag: weligay ma arag."
acuudu-billaahi,"acuudu-billaahi e.d Eray Eebbe looga magan galo wixii la sharaysto. ld cawdu-billaahi."
acuudu-billaysad,"acuudu-billaysad m.l ld acuudu-billaysasho."
acuudu-billaysasho,"acuudu-billaysasho m.f.dh eeg acuudubilleyso. ld acuudu-billeysad, acuudubilleysi, cawdu-billeysad"
acuudu-billeysi,"acuudu-billeysi m.l ld acuudu-billeysasho."
acuudu-billeyso,"acuudu-billeyso f.mg3 (-stay, -satay) Ka a.: wax shartooda Ilaah ka magan gelid. ld cawdu-billeyso."
acyuun,"acyuun m.dh 1. Jaadadka geela mid ka mid ah. 2. Kartida ishu cid wax ku yeeli karto. ld cayuun¹."
adaa,"adaa mu.eb Magacuyaalka qofka labaad oo ka kooban 'adi' iyo 'aa 1'."
adaadax²,"adaadax² f.mg1 (-xay, -xday) Tabar darro awgeed la dhicdhicid (qof)."
adaadax¹,"adaadax¹ m.l 1. Socodka lala dhacdhaco tabar darro darteed. 2. Meesha ay iska galaan dhulka iyo buurta."
adaadi,"adaadi m.l Lacag sanuud ah oo qiimaheedu dhanyahay labaatan senti."
adaadixid,"adaadixid m.f.dh eeg adaadax²."
adaadumasho,"adaadumasho m.f.dh eeg adaadumo."
adaadumid,"adaadumid m.f.dh eeg adaadun²."
adaadumo,"adaadumo f.g3 (-untay, -umatay) Wax unkasho (hanti)."
adaadun²,"adaadun² f.g1 (-umay, -untay) Xoolo, aqal iwm unkid."
adaadun¹,"adaadun¹ m.l Unkidda xoolo, aqal iwm la unko."
adaahi,"adaahi m.dh Geed xooluhu ku dhacartaan oo leh sal weyn oo wada buruq ah iyo laamo yaryar oo dhuudhuuban."
adaan,"adaan mu.eb Magacuyaalka qofka labaad oo ka kooban 'adi', 'aa 1' iyo 'aan 1'."
adaarbiciid,"adaarbiciid m.l Nagaar aan qodax lahayn oo ka baxa balliyada iyo togagga, wuxuu leeyahay miro kuwa bunka u eg, dhirta dawadana waa ka mid. ld adarbiciid."
adable,"adable m.l Dhul carro cad iyo carro madow isugu jira, geedo dhaadheer ka baxaan oo beerashada ku wanaagsan."
adab²,"adab² m.dh (-byo, m.l) 1. Qalab u gaar ah aqal Soomaaliga oo wax lagu rito sida qufadda, xashinta iwm. 2. Kolay yar oo ka samaysan harag ama mayrax oo ay haweenku wax ku gurtaan."
adab¹,"adab¹ m.l Suugaan."
adaddaahid,"adaddaahid m.f.dh eeg adaddaah². ld adaddaah¹."
adaddaah²,"adaddaah² f.mg1 (-hay, -hday) 1. Madaxwareer yar. 2. Jirro muddo lala jiifey si tartiib ah uga bogsasho."
adaddaah¹,"adaddaah¹ m.l ld adaddaahid."
adag,"adag f.mg4 (adkaa, adkayd; ad'adag) 1. Wax aan jilicsanayn ahaansho. 2. Wax xoog iyo karti leh ahaansho."
adamaddoon,"adamaddoon m.l Qof ugaarsada dugaagga iyo ugaarta intooda halista ah. ld adame."
adame,"adame m.l (-mayaal, m.l/dh) ld adamaddoon."
adami,"adami m.l Nafley ugaarsiga ku nool."
adamiyeysasho,"adamiyeysasho m.f.dh eeg adamiyeyso. ld adamiyeysi."
adamiyeysi,"adamiyeysi m.l ld adamiyeysasho."
adamiyeyso,"adamiyeyso f.mg3 (-stay, -satay) Nafley ugaarsi ku noolaan."
adan,"adan m.dh 1. Libaaxa tan dheddig; gool. 2. Ugaarta ama dugaagga intooda laayaanka ah. 3. Koox libaaxyo ah."
adar,"adar m.l 1. (-rro, m.dh) Dheri weyn. 2. Qoolley. 3. Geed ka mid ah dhirta aan qodax lahayn."
adarbiciid,"adarbiciid m.l ld adaarbiciid."
adayg,"adayg m.l ld adkaan."
addeecid,"addeecid m.f.dh eeg addeec². ld addeec¹, addeecis."
addeecis,"addeecis m.dh ld addeecid."
addeecsan,"addeecsan f.mg4 (-naa, -nayd) Wax amar la siiyey addeecay ahaansho (qof)."
addeecsanaan,"addeecsanaan m.f.dh eeg addeecsan. ld addeecsanaansho."
addeecsanaansho,"addeecsanaansho m.l/dh ld addeecsanaan."
addeec²,"addeec² f.g1 (-cay, -cday) Cid amar la faray qaadasho."
addeec¹,"addeec¹ m.l ld addeecid."
addimaad,"addimaad m.dh ld addimid."
addimid,"addimid m.f.dh eeg addin². ld addimaad, addin¹."
addinmaal,"addinmaal m.l (-llo, m.dh) ld muruqmaal."
addin²,"addin² m.l (-imo, m.dh) 1. (xis.) Tirada kulannada loo baahanyahay in baro lagu muujiyo xarriiq dusheeda, qaab ama adke. Shaxan sallax ah waa laba addimaale, shaxan adke ahna waa saddex addimaale. 2. (xis.)Baaxadda shaxan sallax ama adke ah. 3. (xis.)Mid ka mid ah xaddiyada fisigeed ee salka ah oo loo adeegsan karo in lagu tibaaxo xaddiyo kale."
addin³,"addin³ f.g1 (-imay, -intay; -imi) ld aadaan² (1)."
addin¹,"addin¹ m.l (-immo/-inno, m.dh) 1. Afarta lugood ee xawayaanka middood. 2. ld addimid."
addoomoobid,"addoomoobid m.f.dh eeg addoomow."
addoomow,"addoomow f.mg1 (-oobay, -owday; oobi)Addoon noqosho."
addoonnimo,"addoonnimo m.dh Addoon ahaansho."
addoonsad,"addoonsad m.l ld addoonsasho."
addoonsasho,"addoonsasho m.f.dh eeg addoonso. ld addoonsad, addoonsi."
addoonsi,"addoonsi m.l ld addoonsasho."
addoonso,"addoonso f.g3 (-saday, -satay) Cid addoon ka dhigasho."
